Rice Variety	ROS	OSRMC	SUB1A	CAT	SNCA3	Stress_Condition
ADT 45	2.986400901	3.361010553	2.488879464	2.41297179	3.226526891	Drought_Stress
XYZ-202	1.945074932	2.478228082	2.345623338	2.138739852	2.855594673	Healthy
TRY 1 (Trichy 1)	2.948574218	3.602195971	2.002394321	2.950711325	2.749532451	Drought_Stress
TRY 1 (Trichy 1)	2.949626178	3.201197522	2.030049589	3.09242557	3.069004488	Salinity_Stress
IR 64	2.259330232	2.710990916	2.384727542	2.147505284	3.002960436	Healthy
CORH 3 (Hybrid Rice)	2.361153929	1.918630901	2.825309503	2.213782855	2.797153148	Healthy
IR 64	2.860784042	2.207330071	2.98382493	3.156036434	3.254352906	Salinity_Stress
IR 20	2.845985087	3.029925395	2.459920161	2.289318274	3.362234261	Drought_Stress
PQR-303	3.24	3.02	1.96	2.85	3.42	Drought_Stress
TKM 9	3.05930509	3.198441989	1.984015551	3.146815404	3.415370523	Drought_Stress
Jaya	3.249815436	1.911214476	2.526903371	2.995070903	3.112717414	Salinity_Stress
PQR-303	2.19	2.98	2.93	2.95	3.14	Salinity_Stress
LMN-404	3.217080968	2.974342288	2.056763914	3.077198359	3.420031806	Salinity_Stress
BPT 5204 (Sona Masuri)	3.09	3.14	2.12	3.15	2.95	Drought_Stress
ADT 43	3.180948703	2.143304056	2.596595755	2.862652721	3.395351627	Salinity_Stress
ABC-101	3.146553324	3.492823675	2.094975993	3.064209351	2.914877358	Drought_Stress
ADT 37	2.95579508	2.308365324	2.842506927	2.876677797	3.046483301	Salinity_Stress
IR 50	3.063394483	3.10373866	2.578741661	2.514439043	2.42381032	Drought_Stress
IR 20	3.160450549	3.198571471	2.511241505	2.099831782	3.320598276	Drought_Stress
Jaya	2.962584193	3.763516363	2.880701935	2.171044552	2.987800354	Drought_Stress
IR 50	2.6	2.4	2.17	2.86	3.15	Salinity_Stress
ASD 16	2.878366187	2.030289282	2.173551163	2.812131259	3.373057531	Salinity_Stress
VGD 59	3.232454149	3.176604446	2.427815029	2.991578503	3.288692023	Drought_Stress
LMN-404	1.979264157	2.509476906	2.378643617	2.510015459	2.831532643	Healthy
VGD 59	2.25538185	2.189952287	2.192300108	2.08524537	2.965119355	Healthy
ASD 16	2.108571377	2.598375431	2.522615551	2.636041658	2.500138336	Healthy
PMK 3 (Ponmani)	3.00775876	3.286416725	2.536526323	2.789846922	3.023363763	Drought_Stress
Jaya	3.21	3.19	2.55	3.08	3	Drought_Stress
PMK 3 (Ponmani)	2.271918718	2.417506446	2.371107958	2.025762336	2.98872324	Healthy
MDU 5	2.875787333	3.320409786	2.939772148	2.142787506	3.071849813	Drought_Stress
TKM 9	3.347790874	1.937478517	2.242418371	3.165825287	3.112039925	Salinity_Stress
IR 64	1.85	1.81	2.43	2.3	2.99	Healthy
Pusa Basmati 1	3.33	3.37	2.85	2.32	2.95	Drought_Stress
MDU 5	2.137584806	2.453886576	2.320027221	3.190806675	3.217042974	Salinity_Stress
TRY 3 (Trichy 3)	2.06	2.63	2.66	2.17	2.97	Healthy
White Ponni	2.97	3.16	2.21	2.01	3.36	Drought_Stress
IR 36	3.082908137	2.331465684	1.976223347	3.050616137	3.218052594	Salinity_Stress
TRY 3 (Trichy 3)	2.48	2.2	2.91	2.69	2.83	Healthy
ABC-101	3.256205224	3.14330498	1.987854502	2.152269202	3.125652929	Drought_Stress
CORH 3 (Hybrid Rice)	2.449964047	2.496034483	2.51690649	3.142038698	3.212594787	Salinity_Stress
IR 50	2.852227512	3.701659607	2.855902301	2.770458371	2.923937239	Drought_Stress
ADT 43	2.957932056	3.021602744	2.073588571	3.124011274	2.600902994	Drought_Stress
Pusa Basmati 1	2.47	1.82	2.78	2.14	2.58	Healthy
TRY 1 (Trichy 1)	2.100300334	2.650523046	2.52259833	2.192231471	2.686509763	Healthy
TRY 3 (Trichy 3)	2.381449867	3.817012215	2.468377854	2.914561895	3.119651363	Salinity_Stress
White Ponni	3.31	3.27	2.41	2.71	3.26	Drought_Stress
PMK 3 (Ponmani)	3.15257333	3.151840493	2.998259182	2.677800096	3.080246543	Drought_Stress
MDU 5	2.81	3.71	2.08	3	3.05	Drought_Stress
Pusa Basmati 1	2.508163619	1.931779186	2.054687677	2.841072767	3.39532186	Salinity_Stress
ADT 45	2.957011679	3.339426826	2.832138644	2.596556211	2.525972817	Drought_Stress
TRY 1 (Trichy 1)	2.05477008	3.828693755	2.427121461	3.105752272	2.990696701	Salinity_Stress
ADT 37	3.425913255	3.280343948	2.193655409	2.915535811	3.067140864	Drought_Stress
MDU 5	3.12	3.44	2.41	2.45	2.84	Drought_Stress
CORH 3 (Hybrid Rice)	3.031079918	3.254292788	2.903198397	2.755399867	2.453308551	Drought_Stress
ABC-101	3.31	3.2	2.41	3.07	3.33	Salinity_Stress
IR 64	2.93681148	3.563849351	2.761476358	2.765462072	2.929338591	Drought_Stress
Pusa Basmati 1	3.270072604	3.171182281	2.533240807	2.0064481	3.358460172	Drought_Stress
IR 50	2.646816966	2.577243954	2.849553056	2.927192697	3.040922143	Salinity_Stress
Swarna	2.355124045	2.354646712	2.021193595	2.405310523	2.599853811	Healthy
TRY 3 (Trichy 3)	3.128060826	2.040875479	1.949161976	2.878971483	3.34342985	Salinity_Stress
IR 64	3.33	3.45	2.2	2.56	2.7	Drought_Stress
VGD 59	2.031683888	2.120558126	2.650853962	1.995500958	2.502222341	Healthy
IR 64	2.211562111	2.29150924	2.557698394	2.406814965	2.53725443	Healthy
ASD 16	2.250217486	3.421966204	2.345005319	2.944896068	3.205261364	Salinity_Stress
IR 36	1.98762504	1.954574843	2.498386013	2.576151939	2.720285166	Healthy
ADT 37	2.954463255	2.293829994	2.857270627	2.898018185	3.065723893	Salinity_Stress
ABC-101	3.147641305	2.180634931	1.916298892	2.87111892	3.034950011	Salinity_Stress
IR 50	2.843944758	3.700649661	2.842865854	2.771152993	2.937032308	Drought_Stress
IR 64	2.715390354	2.85419759	2.178245731	2.890646977	3.236969124	Salinity_Stress
IR 64	3.093750725	3.784520077	2.667851483	2.018487891	3.059793729	Drought_Stress
TRY 3 (Trichy 3)	2.114931794	2.298804594	2.778870095	2.450637147	2.545865489	Drought_Stress
Pusa Basmati 1	2.279853441	1.928071497	2.881419219	2.701801965	2.453741887	Healthy
ADT 43	2.23	2.05	2.09	2.28	2.69	Healthy
ADT 43	3.372568678	2.795395074	2.277606018	2.836099018	2.98673107	Salinity_Stress
BPT 5204 (Sona Masuri)	3.222219167	3.789048953	2.837988656	2.886738964	2.881617679	Drought_Stress
CO 43	2.49	2.01	2.34	2.64	2.71	Healthy
White Ponni	3.149910271	3.08640569	1.951920249	2.446005021	3.299054426	Drought_Stress
XYZ-202	2.41	3.29	2.89	2.89	3.45	Salinity_Stress
BPT 5204 (Sona Masuri)	3.450586067	3.542657448	2.46829305	2.150348948	3.518820306	Drought_Stress
PQR-303	2.321934792	2.188541132	2.278799707	2.51127665	2.909718799	Healthy
ASD 16	2.732473903	2.85367389	2.744252254	3.049633991	3.177239105	Salinity_Stress
ABC-101	3.427890302	3.401785126	2.891291553	3.047724305	3.368244174	Salinity_Stress
TKM 9	2.142949573	2.50239271	2.654992168	2.391676426	3.011506847	Healthy
ADT 43	2.234725121	2.035212704	2.103801687	2.275241564	2.679381984	Healthy
ADT 37	1.94	2.07	2.53	2.05	2.72	Healthy
CO 43	2.413819617	1.954259405	2.81861672	2.020978778	2.494983016	Healthy
ADT 43	2.821486442	1.813000312	1.927866241	2.905965011	3.427575919	Salinity_Stress
ABC-101	3.363140389	3.072033112	2.072471764	3.049215117	3.183218442	Salinity_Stress
VGD 59	2.378024577	2.343963628	2.291969371	2.164030266	2.914292159	Healthy
TRY 1 (Trichy 1)	2.412909083	2.190109629	2.203331504	2.260336162	2.993648412	Healthy
PQR-303	1.880225573	3.353353678	1.988923113	3.0288819	3.381216666	Salinity_Stress
Pusa Basmati 1	2.9582583	2.720956643	2.540725331	2.910758675	3.205778178	Salinity_Stress
Swarna	1.83	2.12	2	2.38	2.59	Healthy
Pusa Basmati 1	2.93	3.09	2.7	3.12	2.4	Drought_Stress
IR 20	2.228782896	2.730047201	3.0117356	2.540256833	2.557452102	Healthy
PMK 3 (Ponmani)	3.37	3.73	2.03	3.19	3.08	Drought_Stress
ADT 37	3.482502595	3.799181792	1.933468055	2.578521615	3.078621228	Drought_Stress
ADT 43	2.921027817	3.433718468	2.730148034	2.232739938	3.350604986	Drought_Stress
VGD 59	2.181170027	2.55269475	2.894291603	2.991611903	3.387495263	Salinity_Stress
ASD 16	2.130575249	2.483304716	2.263721291	2.266973876	2.952740455	Healthy
TRY 3 (Trichy 3)	3.174526939	3.58311812	2.074359923	2.469893728	2.828367227	Drought_Stress
TKM 9	1.879662646	2.709384344	2.00291992	2.423881526	2.785035777	Healthy
Pusa Basmati 1	1.860920382	2.76895087	2.913110556	2.615276801	2.416370966	Healthy
CO 43	2.785789602	3.156242872	2.387163763	2.547901087	3.389402199	Drought_Stress
White Ponni	3.026999809	3.370067463	2.823836849	2.771694929	3.211397854	Drought_Stress
PQR-303	1.820221886	2.048654963	2.090150752	2.306398567	2.557298689	Healthy
ADT 45	2.29	1.95	2.8	2.37	2.45	Healthy
Pusa Basmati 1	3.400855424	3.714951125	2.015839864	2.911880033	2.430648861	Drought_Stress
White Ponni	3.38	3.72	2.82	2.03	2.7	Drought_Stress
IR 36	3.18	3.37	2.8	2.52	3.36	Drought_Stress
CO 43	1.904637757	2.229555249	2.703484908	2.447135413	2.626673183	Healthy
Jaya	3.22506152	3.209698503	2.538714209	3.085903156	3.01044298	Drought_Stress
PQR-303	1.994288756	1.953228652	2.934083788	2.019085478	2.427026956	Healthy
TRY 3 (Trichy 3)	2.27	3.71	2.81	3.14	3.31	Salinity_Stress
XYZ-202	3.072120892	3.439914553	2.251454625	2.02287111	2.482815081	Drought_Stress
TRY 1 (Trichy 1)	2.343258638	2.269014573	2.122312057	2.446520008	2.688256014	Healthy
IR 20	3.078969048	2.730681872	2.224514772	2.865030299	3.506360725	Salinity_Stress
Pusa Basmati 1	3.41	3.72	2.01	2.92	2.42	Drought_Stress
ADT 45	2.312318532	3.469568542	2.805195338	2.916364992	3.232551768	Salinity_Stress
ABC-101	3.113122813	3.075533979	2.385445098	2.233363742	2.775815008	Drought_Stress
TRY 3 (Trichy 3)	2.88	3.28	2.76	2.45	2.87	Drought_Stress
TRY 1 (Trichy 1)	2.36	2.03	2.09	2.65	2.64	Healthy
ADT 37	3.416102507	3.301982328	2.185386379	2.89814258	3.041058271	Drought_Stress
ADT 43	3.014655482	3.386980593	2.915939735	2.472059492	2.854200019	Drought_Stress
IR 20	2.753748831	3.481535981	2.161206499	2.949623354	3.396743669	Healthy
ADT 37	3.079667386	2.030662889	2.060195375	3.056305838	3.06049317	Salinity_Stress
TRY 1 (Trichy 1)	2.83	2.05	1.99	2.99	3.35	Salinity_Stress
TRY 3 (Trichy 3)	2.950741887	3.267216569	2.382604264	2.725139163	2.761638393	Drought_Stress
PQR-303	2.34	2.2	2.75	2.52	2.61	Healthy
XYZ-202	2.856109393	3.373536283	1.92406995	2.428311536	2.933985926	Drought_Stress
LMN-404	3.021642324	2.023436305	2.439876526	3.062230981	3.437783165	Salinity_Stress
CO 43	2.94054893	3.138280318	2.972193625	2.431645428	2.92231937	Drought_Stress
CORH 3 (Hybrid Rice)	3.24	3.38	2.33	2.79	3.23	Drought_Stress
PQR-303	2.813134503	3.740633157	1.980612378	2.24801322	3.240011336	Drought_Stress
Pusa Basmati 1	2.32133649	2.631000514	2.454891251	2.568318059	2.565812062	Healthy
TKM 9	2.575556166	2.991874771	2.305090308	2.922481724	3.382135244	Salinity_Stress
TRY 3 (Trichy 3)	2.85	3.34	1.92	2.92	3.41	Drought_Stress
TKM 9	2.901827675	3.483722819	2.839977753	3.164867524	2.659848988	Drought_Stress
Jaya	2.281503874	2.513767607	2.224893448	3.099327347	3.295334827	Salinity_Stress
ASD 16	2.251304319	2.132930237	2.872941649	2.332323025	3.0011209	Healthy
ADT 37	2.150207603	2.575776035	2.086785922	2.54280625	2.93087317	Healthy
ADT 43	2.3	2.55	2.6	2.83	3.23	Salinity_Stress
CO 43	1.86	2.21	1.97	3.19	3.35	Salinity_Stress
PQR-303	3.28	2.69	2.4	2.97	3.31	Salinity_Stress
ABC-101	2.199734615	2.625356724	2.507174669	2.221612814	2.552165651	Healthy
White Ponni	2.131158568	2.083153127	2.568030125	2.236310978	2.839675969	Healthy
ASD 16	1.844589281	2.733603493	2.162612796	2.471881141	2.747980327	Healthy
CO 43	2.37	2.65	1.9	2.9	3.11	Salinity_Stress
ADT 37	3.140679	3.062542523	2.299975993	2.296086529	2.911105853	Drought_Stress
Swarna	1.97	2.61	2.23	2.2	2.63	Healthy
TRY 3 (Trichy 3)	2.11	2.3	2.78	2.45	2.54	Healthy
IR 36	3.439411078	3.059145995	2.161364942	2.6015418	2.397978641	Drought_Stress
ABC-101	2.021906826	1.932081422	2.682585025	2.185566639	2.870471352	Healthy
Swarna	3.273651268	3.785965674	2.270486415	2.879959292	2.479946657	Drought_Stress
TKM 9	2.08	2.3	2.29	2.45	2.95	Healthy
IR 64	1.839649122	1.820619713	2.447326352	2.298079122	2.987946375	Healthy
CO 43	3.16	3.16	2.57	2.62	2.92	Drought_Stress
Jaya	2.975374556	3.138309233	2.961928845	2.630735411	3.429069549	Drought_Stress
TRY 3 (Trichy 3)	2.391541804	2.487708466	2.595968493	2.212467238	2.662828447	Healthy
PMK 3 (Ponmani)	2.46	2.16	2.61	2.02	2.98	Healthy
Jaya	3.327816731	3.231776752	2.563589534	2.663510523	2.995859434	Drought_Stress
BPT 5204 (Sona Masuri)	3.209616563	3.083859559	2.521165348	2.739240891	2.79011618	Drought_Stress
ADT 45	2.268598364	2.146788696	2.074328825	2.236317057	2.825988865	Healthy
LMN-404	2.888232102	3.712139776	2.448758687	2.832460626	3.077485104	Salinity_Stress
PQR-303	3.258690758	3.6556496	2.670707117	3.053685689	2.68890002	Drought_Stress
IR 50	2.790948092	3.04847576	2.703640896	3.161044087	2.463318739	Drought_Stress
LMN-404	3.178561508	3.046531769	2.675692983	2.932192806	3.341341608	Drought_Stress
VGD 59	2.132281581	2.756710184	2.198685894	2.135575111	2.534890384	Healthy
IR 36	2.861651827	3.147515231	1.926525887	3.070119157	2.810639141	Drought_Stress
Pusa Basmati 1	2.441502583	1.850752923	2.80413368	2.366615793	2.56378359	Healthy
IR 20	1.809030704	2.297111955	2.117957394	2.494483643	2.45968692	Healthy
XYZ-202	1.89353451	2.712209264	2.150624344	2.073893349	2.750423974	Healthy
PQR-303	3.060709015	3.738415838	1.957202683	2.645336365	2.651719361	Drought_Stress
TKM 9	3.212176037	3.580236168	2.167175658	2.927793379	3.421234295	Salinity_Stress
White Ponni	1.841347142	2.5414673	2.864992288	2.02812022	2.959486824	Healthy
PQR-303	2.175681188	2.139849934	2.529518786	2.413446539	2.926876258	Healthy
TKM 9	2.988209646	3.744207968	2.02249311	2.405867149	3.096118734	Drought_Stress
VGD 59	3.140537136	2.641307202	2.338881858	2.904613288	3.365541509	Salinity_Stress
XYZ-202	2.89	3.05	2.46	3.19	3.44	Salinity_Stress
ASD 16	3.23	3.28	2.27	2.78	3.23	Drought_Stress
IR 50	1.96524951	1.81421148	2.749088218	3.008636346	3.498861327	Salinity_Stress
XYZ-202	1.846671885	2.541272217	2.250245035	2.305337699	2.685004515	Healthy
CO 43	3.254971271	3.271224228	2.689701904	2.015564148	3.421447085	Drought_Stress
TRY 3 (Trichy 3)	1.829995159	2.369700169	2.757924587	2.165690607	2.417812704	Healthy
ADT 37	3.194742933	2.514136471	2.982793634	2.941103068	3.009514409	Salinity_Stress
IR 50	2.02	2.64	2.61	2.28	2.92	Healthy
CO 43	3.285408427	2.467836414	1.930356883	2.860624025	3.429983641	Salinity_Stress
TRY 1 (Trichy 1)	1.800835348	2.063604544	2.244742557	2.993352521	3.336267375	Salinity_Stress
Jaya	3.011831897	2.953451036	2.508455012	3.120320492	3.402773779	Salinity_Stress
ADT 43	3.28	3.04	2.92	2.89	2.48	Drought_Stress
MDU 5	3.344744708	3.707643038	2.899568168	2.873447955	3.428191543	Drought_Stress
ADT 37	2.836994889	2.860374934	2.256446841	3.071607687	3.037173721	Salinity_Stress
IR 20	2.066940893	2.07989934	2.638249514	2.371395536	2.558846969	Healthy
PQR-303	3.21520283	3.008165944	1.970640875	2.851203237	3.420739766	Drought_Stress
VGD 59	2.19239652	2.745904964	2.64144229	2.693194651	2.690630984	Healthy
TRY 1 (Trichy 1)	3.450927191	3.053610235	2.214108763	2.35874729	3.492502404	Drought_Stress
CORH 3 (Hybrid Rice)	2.936936591	3.69818121	2.74166517	2.641358413	3.236433497	Drought_Stress
CORH 3 (Hybrid Rice)	3.275460373	3.774087739	2.08063027	3.127763897	3.348154793	Drought_Stress
Pusa Basmati 1	3.321873097	3.356600107	2.859809707	2.305782465	2.943067035	Drought_Stress
ADT 45	3.01	3.12	2.21	2.93	3.23	Salinity_Stress
IR 20	2.13	2.4	2.59	2.63	2.65	Healthy
White Ponni	2.007454244	2.572498177	2.656467531	2.652320046	2.733678874	Healthy
Jaya	2.282372714	3.237285756	2.334828695	2.840873177	3.451880439	Salinity_Stress
ADT 37	2.867112732	3.46941491	2.847877152	2.824589051	3.266390904	Salinity_Stress
TKM 9	2.256345912	2.099347092	2.557617658	3.171712223	3.435810846	Salinity_Stress
IR 36	2.377926252	3.274911045	2.687048468	3.059895303	3.488440657	Salinity_Stress
ADT 45	3.336322915	3.418845714	2.788881571	2.558194945	3.344558587	Drought_Stress
ABC-101	1.84	1.87	2.78	3.18	3.01	Salinity_Stress
PQR-303	3.211652625	3.408755093	2.244295494	2.311970854	3.034624637	Drought_Stress
CORH 3 (Hybrid Rice)	2.96	3.73	2.04	2.3	2.67	Drought_Stress
IR 64	2.27	3.77	2.19	3.01	3.18	Salinity_Stress
White Ponni	3.11	2.89	2.31	3.17	3.25	Salinity_Stress
LMN-404	3.451736675	3.494313264	1.989851201	2.386527522	3.313495936	Drought_Stress
ASD 16	2.470631579	2.657950856	2.153476616	2.877998695	3.21990105	Salinity_Stress
IR 50	3.202871408	3.071296248	1.972985979	3.017907435	2.428439209	Drought_Stress
BPT 5204 (Sona Masuri)	3.160404465	3.192742765	2.517049175	2.099127001	3.326225973	Drought_Stress
CORH 3 (Hybrid Rice)	3.036064949	3.216446447	2.907014131	2.741290397	2.438788134	Drought_Stress
IR 50	2.190592278	2.74977534	2.541409961	2.448994464	2.837128585	Healthy
ADT 45	3.401700247	3.530714351	1.919883752	3.09290426	3.503619418	Salinity_Stress
MDU 5	2.232535854	2.124496421	2.597698565	2.540165102	2.508259518	Healthy
IR 50	2.058147086	2.719620389	2.440628336	2.358250649	2.889914557	Healthy
ASD 16	3.013655919	3.325178138	2.38507791	2.887483516	3.02485669	Drought_Stress
TRY 3 (Trichy 3)	2.277262218	2.723633924	2.724001484	2.599478426	2.907928376	Healthy
ASD 16	3.014065494	3.343382966	2.400663134	2.881238984	3.041415446	Healthy
IR 36	3.4	3.31	2.91	3.08	3.28	Salinity_Stress
LMN-404	3.267609139	3.078128536	2.378622055	2.292828737	2.451552548	Drought_Stress
BPT 5204 (Sona Masuri)	2.106128329	2.199727125	2.100270784	2.478689902	2.948347281	Healthy
TRY 3 (Trichy 3)	2.132779875	2.320461834	2.783631622	2.447178427	2.532515783	Healthy
PQR-303	3.470017132	3.566982507	2.285933415	2.509760016	3.396911276	Drought_Stress
Pusa Basmati 1	2.839112226	1.995221805	2.895117404	2.829575544	3.031605218	Salinity_Stress
MDU 5	3.514976621	3.794189162	2.365574221	2.895319745	3.383571326	Drought_Stress
IR 64	2.625536754	3.26422871	2.392409935	2.852271076	3.087914756	Salinity_Stress
TRY 1 (Trichy 1)	3.15	2.52	2.61	2.99	3.01	Salinity_Stress
TRY 1 (Trichy 1)	2.944938185	3.745140689	2.226376463	2.56377389	3.428716874	Drought_Stress
MDU 5	3.346090257	3.674328836	2.904794025	2.897803194	3.436472071	Drought_Stress
CORH 3 (Hybrid Rice)	2.9	3.52	2.75	3.04	3.25	Salinity_Stress
CO 43	1.969180094	2.551255949	2.513942114	2.23177353	2.857347957	Drought_Stress
MDU 5	2.189263586	2.154833263	2.049691983	2.272711407	2.794155592	Healthy
ADT 45	1.865171491	3.452631759	2.678294315	3.108152771	3.146354661	Salinity_Stress
BPT 5204 (Sona Masuri)	1.886199619	2.765477082	2.663772326	2.213384491	2.892187043	Healthy
TKM 9	2.232086634	2.623444764	2.948280509	2.572060483	2.79487775	Healthy
LMN-404	2.005959233	2.335007258	2.712157758	2.625146137	2.796980008	Healthy
ADT 43	3.173246971	2.13901952	2.585301199	2.875626933	3.395442235	Salinity_Stress
CO 43	2.16	3.3	2.03	3	3.38	Salinity_Stress
IR 20	3.167118147	3.260259293	2.065727136	2.642662346	2.683708334	Drought_Stress
IR 36	2.88	3.07	2.29	2.54	2.64	Drought_Stress
Swarna	2.01	2.41	2.2	2.63	2.76	Healthy
CORH 3 (Hybrid Rice)	2.409365574	2.61738341	2.54796154	2.483422484	2.498065867	Healthy
IR 36	2.28	2.37	2.88	2.42	2.4	Healthy
PQR-303	3.48	3.75	2.7	2.96	3.11	Drought_Stress
Jaya	1.952810392	2.319642257	2.8841171	2.350264761	2.957273895	Healthy
TKM 9	2.832169526	3.350915816	2.39496814	2.286101978	2.810370979	Drought_Stress
PMK 3 (Ponmani)	3.09	3.37	2.93	2.81	2.47	Drought_Stress
TKM 9	2.090699664	2.284584803	2.300806633	2.445095836	2.953272163	Healthy
Swarna	2.801626448	3.683135963	2.284466721	2.918275096	3.133030462	Drought_Stress
ADT 45	2.422584022	2.088138715	1.977616454	2.407581446	2.514002325	Healthy
PMK 3 (Ponmani)	3.09	3.34	2.15	2.55	2.7	Drought_Stress
PMK 3 (Ponmani)	1.975106618	1.848487377	2.013575548	2.837174437	3.34977697	Salinity_Stress
XYZ-202	2.13662032	3.597655119	2.998247767	2.855201078	3.381599108	Salinity_Stress
IR 36	2.264743813	2.369946183	2.119549039	2.539428349	2.620652901	Healthy
MDU 5	3.176554451	3.656950224	2.34179044	2.965892725	3.518134984	Drought_Stress
ADT 45	3.16576483	3.163045008	2.032746633	2.013476478	3.350020901	Drought_Stress
TKM 9	2.339021189	1.900138615	2.062952634	2.85194691	3.410397665	Salinity_Stress
IR 64	3.457963748	3.033762798	2.366113492	2.59295183	2.457467743	Drought_Stress
IR 64	2.93048598	3.692124238	2.004701438	3.01208212	3.046374813	Drought_Stress
ABC-101	1.93	3.23	2.42	3.19	3.35	Salinity_Stress
XYZ-202	2.364817236	2.349023965	2.290769299	2.15163309	2.920491144	Healthy
MDU 5	3.26	3.71	2.08	2.91	3.46	Drought_Stress
Jaya	2.8	3.71	2.51	2.38	3.15	Drought_Stress
XYZ-202	3.23309714	3.353052315	2.066814724	2.256040116	2.600006858	Drought_Stress
TKM 9	3.07	2.93	3	3.07	3	Salinity_Stress
ADT 45	2.298031307	2.129982195	2.752646116	2.02033202	2.805012311	Healthy
TKM 9	2.01	2.53	2.35	2.15	2.51	Healthy
Swarna	3.22	2.64	2.29	3.09	3.49	Salinity_Stress
MDU 5	3.199962897	2.242397335	2.234989451	2.852358465	3.439398423	Healthy
CORH 3 (Hybrid Rice)	2.099775263	2.012684273	3.000892516	2.48967636	2.889128582	Healthy
TKM 9	2.733981803	3.128784473	2.435682288	2.973813153	3.103401079	Salinity_Stress
Jaya	3.294538821	3.189111007	2.179036474	3.0720634	2.700357036	Drought_Stress
IR 64	3.449380171	3.289579172	1.953116257	2.517701712	3.261050159	Drought_Stress
ASD 16	2.83	3.5	2	2.16	2.82	Drought_Stress
LMN-404	2.651311058	3.647340378	1.90362883	2.833142488	3.340170312	Salinity_Stress
IR 64	2.403136903	2.040891223	2.899278523	2.372045285	2.794773338	Healthy
XYZ-202	3.000344801	3.577839443	2.567659649	2.766153835	3.010729769	Drought_Stress
Swarna	3.37	3.18	2.01	2.65	2.44	Drought_Stress
Pusa Basmati 1	2.84788737	3.604061667	2.607496927	2.429735546	3.060657908	Drought_Stress
White Ponni	2.096716662	2.29030091	1.89225257	2.625475261	2.433649562	Healthy
ASD 16	3.231915769	3.053147677	2.38296991	2.334194381	3.197931848	Drought_Stress
IR 36	3.2	3.55	2.67	2.94	3.07	Salinity_Stress
Swarna	3.426778426	3.124467904	1.98873812	2.969110342	3.470736609	Drought_Stress
VGD 59	1.822094537	2.180776051	2.676757289	2.348448044	2.919306823	Healthy
TKM 9	2.91	3.03	2.4	2.26	3.06	Drought_Stress
CO 43	2.05550301	2.166757494	2.041382613	2.288473232	2.927544747	Healthy
ASD 16	3.42461863	2.048072686	2.19069364	2.883973861	3.394385294	Salinity_Stress
BPT 5204 (Sona Masuri)	2.350778882	2.35859543	2.526386434	2.473953444	2.484957527	Healthy
Swarna	2.154585814	2.731708107	2.898277923	2.617550665	2.618738689	Healthy
PMK 3 (Ponmani)	2.18	2.73	1.93	2.82	3.11	Salinity_Stress
CO 43	2.92	3.13	2.98	2.42	2.92	Drought_Stress
IR 36	2.412962319	2.612993741	2.145567714	2.04811004	2.525657716	Healthy
White Ponni	2.034891015	2.592023705	2.658238554	2.637699933	2.730930816	Healthy
Jaya	3.298478314	2.119378604	2.518558223	2.830623073	3.094980815	Salinity_Stress
CORH 3 (Hybrid Rice)	2.926421699	3.413358299	2.0405532	2.351656775	3.307118723	Drought_Stress
CO 43	3.198735971	3.742848398	2.260757582	2.362186528	2.492521721	Drought_Stress
XYZ-202	1.900194056	2.703188959	2.173276026	2.071516201	2.756007791	Healthy
ADT 37	3.12	3.71	1.97	2.95	2.67	Drought_Stress
MDU 5	2.93	3.6	2.96	2.18	3.28	Drought_Stress
White Ponni	3.292652303	3.342075156	2.484861913	2.048294757	2.557620172	Drought_Stress
IR 20	3.260976552	3.480944041	2.204311128	3.12124637	3.171410218	Salinity_Stress
PMK 3 (Ponmani)	3.3	3.22	2.47	3.18	2.86	Drought_Stress
Jaya	3.230074586	3.094191043	2.049007235	2.934294876	3.492893042	Salinity_Stress
VGD 59	3.06540407	3.333877802	2.324755825	2.923119209	3.432705298	Salinity_Stress
IR 50	2.048470501	2.426212832	2.178458316	2.129282139	2.940332781	Healthy
LMN-404	1.963461848	2.524075502	2.393310685	2.532192157	2.83376883	Healthy
Swarna	3.317025163	3.778918035	2.258332688	2.873672125	2.495181085	Drought_Stress
TRY 3 (Trichy 3)	2.387291489	2.751477983	2.976748411	2.383392676	2.548812919	Healthy
TKM 9	2.936514722	3.506446976	2.517804229	2.745052309	3.43744854	Drought_Stress
TRY 1 (Trichy 1)	2.11	2.8	2.41	2.2	2.9	Healthy
CORH 3 (Hybrid Rice)	3.283737646	3.803193236	2.76577965	2.372062116	2.709217594	Drought_Stress
LMN-404	3.30087465	3.128271075	2.6003473	2.020513623	3.031076697	Drought_Stress
TKM 9	2.82640936	1.984708166	2.767239322	2.999103261	3.224002138	Salinity_Stress
CO 43	3.215829371	2.322433117	2.066509754	3.000859553	3.171554446	Salinity_Stress
ADT 37	2.888633339	2.084479878	1.95530811	2.955049655	3.237573408	Salinity_Stress
ADT 45	1.881439291	2.318824568	2.941984193	2.059875772	2.717855107	Healthy
Swarna	3.407405594	3.124032492	2.609222283	2.736387217	2.808714434	Drought_Stress
ABC-101	2.453518413	3.450323164	1.92767344	3.12504568	3.463156318	Salinity_Stress
BPT 5204 (Sona Masuri)	2.792527736	3.486070396	2.166141157	2.967791235	3.171815793	Salinity_Stress
Pusa Basmati 1	1.92	2.67	2.59	2.44	3	Healthy
MDU 5	2.290595091	1.816039406	2.391101715	2.160308108	2.742452936	Healthy
